CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS
8782,CHEM 122L,5,General Chemistry Lab II,1,  AINW,Lab,T,1330-1720,FORBES 3009,Staff  CNU,0,Closed
8788,CHEM 122L,6,General Chemistry Lab II,1,  AINW,Lab,T,1330-1720,FORBES 3002,Staff  CNU,0,Closed
8789,CHEM 122L,7,General Chemistry Lab II,1,  AINW,Lab,R,1330-1720,FORBES 3009,Staff  CNU,0,Closed
8790,CHEM 122L,8,General Chemistry Lab II,1,  AINW,Lab,R,1330-1720,FORBES 3002,Staff  CNU,8,Open
8791,CHEM 122L,9,General Chemistry Lab II,1,  AINW,Lab,M,1800-2150,FORBES 3009,Staff  CNU,0,Closed
8796,CHEM 321,1,Organic Chemistry I,3,,Lec,TR,0930-1045,MCM 114,Staff  CNU,15,Open
8797,CHEM 322,1,Organic Chemistry II,3,,Lec,MWF,0800-0850,FORBES 1022,Carney  Jeffrey,5,Open
8799,CHEM 322,2,Organic Chemistry II,3,,Lec,MWF,1200-1250,LUTR 121,Staff  CNU,0,Closed
8801,CHEM 322,3,Organic Chemistry II,3,,Lec,MWF,1200-1250,MCM 101,Liskin  Dmitry,0,Closed
8803,CHEM 322L,1,Organic Chemistry Lab II,1,,Lab,T,0830-1220,FORBES 3052,Staff  CNU,0,Closed
8804,CHEM 322L,2,Organic Chemistry Lab II,1,,Lab,R,0830-1220,FORBES 3052,Staff  CNU,0,Closed
8805,CHEM 322L,3,Organic Chemistry Lab II,1,,Lab,M,1300-1650,FORBES 3052,Staff  CNU,0,Closed
8806,CHEM 322L,4,Organic Chemistry Lab II,1,,Lab,W,1300-1650,FORBES 3052,Staff  CNU,0,Closed
8807,CHEM 322L,5,Organic Chemistry Lab II,1,,Lab,T,1330-1720,FORBES 3052,Staff  CNU,0,Closed
8810,CHEM 322L,6,Organic Chemistry Lab II,1,,Lab,R,1330-1720,FORBES 3052,Staff  CNU,0,Closed
8811,CHEM 322L,7,Organic Chemistry Lab II,1,,Lab,M,1800-2150,FORBES 3052,Staff  CNU,0,Closed
8826,CHEM 322L,8,Organic Chemistry Lab II,1,,Lab,T,1800-2150,FORBES 3052,Staff  CNU,0,Closed
8827,CHEM 322L,9,Organic Chemistry Lab II,1,,Lab,R,1800-2150,FORBES 3052,Staff  CNU,0,Closed
8834,CHEM 342,1,Physical Chemistry II,3,,Lec,MWF,1000-1050,FORBES 1039,Patterson  Joshua,5,Open
8835,CHEM 342L,1,Physical Chemistry Lab II,1,,Lab,T,1330-1720,FORBES 3048,Patterson  Joshua,7,Open
8836,CHEM 361,1,Analytical Chemistry,3,,Lec,MWF,1200-1250,FORBES 2015,Quinlan  Ronald,0,Closed
8837,CHEM 361L,1,Analytical  Chemistry Lab,1,,Lab,R,0830-1220,FORBES 3040,Quinlan  Ronald,11,Open
8838,CHEM 361L,2,Analytical  Chemistry Lab,1,,Lab,R,1330-1720,FORBES 3040,Quinlan  Ronald,0,Closed
8840,CHEM 435,1,Nanochemistry &amp; Nanotechnology,3,,Lec,TR,1100-1215,FORBES 1027,Abdel-Fattah  Tarek,7,Open
8841,CHEM 470,1,Advanced Organic Chemistry,3,,Lec,TR,0930-1045,FORBES 1027,Carney  Jeffrey,4,Open
8843,CHEM 492,W1,WI: POGIA-A Chemistry Capstone,3,  WI,Lec,R,1330-1600,FORBES 3048,Patterson  Joshua,7,Open
9366,CHEM 499,1,Ind St: Metal Incoporation,3-Jan,,Ind,,,ARR ,Lasseter  Benjamin,0,Closed
9049,CHEM 535,1,Nanochemistry &amp; Nanotechnology,3,,Lec,TR,1100-1215,FORBES 1027,Abdel-Fattah  Tarek,5,Open
9062,CHEM 570,1,Advanced Organic Chemistry,3,,Lec,TR,0930-1045,FORBES 1027,Carney  Jeffrey,19,Open
8757,CHIN 102,1,Beginning Chinese II,3,,Lec,MWF,1000-1050,MCM 300B,Smith  Jonathan,7,Open
8760,CHIN 102,2,Beginning Chinese II,3,,Lec,MWF,1100-1150,MCM 207,Smith  Jonathan,4,Open
9347,CHIN 195,1,Special Topics,1,,Lec,,,ARR ,Yang  Xuemei,15,Open
8800,CHIN 202,1,Intermediate Chinese II,3,  LLF,Lec,MWF,1300-1350,MCM 314,Smith  Jonathan,10,Open
9345,CHIN 295,1,Special Topics,1,  LLF,Lec,,,ARR ,Yang  Xuemei,0,Closed
8755,CHIN 395,1,Special Topics,3,  LLF,Lec,MWF,1200-1250,MCM 200B,Staff  CNU,8,Open
9212,CLST 101,1,Classicl Roots-American Cultur,3,  AIWT,Lec,MW,1600-1715,MCM 210,Padilla  Mark,0,Closed
9023,CLST 212,1,Roman Culture,3,  AIWT,Lec,TR,0930-1045,MCM 101,Adamitis  Jana,13,Open
9348,CLST 212,2,Roman Culture,3,  AIWT,Lec,TR,0930-1045,MCM 307,Pollio  David,0,Closed
8802,CLST 302,1,Ancient Epic,3,  AIWT,Lec,TR,1630-1745,MCM 307,Buszard  Bradley,0,Closed
8808,CLST 311,1,Ancient Greek Art,3,  AICE,Lec,MWF,1300-1350,MCM 366,Motta  Rosa,0,Closed
8911,COLL 150,1,The Intentional Learner,2,,Lec,MW,1200-1250,MCM 260,Moody  Michelle,29,Open
8912,COLL 150,2,The Intentional Learner,2,,Lec,MW,1300-1350,FORBES 3014,Leger  Jeannine,29,Open
8865,COMM 201,1,Public Speaking,3,,Lec,MWF,0900-0950,LUTR 139,Manning  Linda,0,Closed
8913,COMM 201,2,Public Speaking,3,,Lec,MW,1600-1715,LUTR 131,Hubbard  Jeanne,0,Closed
8914,COMM 201,3,Public Speaking,3,,Lec,MWF,1400-1450,FORBES 3014,Best  Mary,0,Closed
8915,COMM 201,4,Public Speaking,3,,Lec,MWF,1500-1550,FORBES 3014,Best  Mary,0,Closed
8916,COMM 201,5,Public Speaking,3,,Lec,TR,1630-1745,FORBES 3014,Middleton  Robyn,0,Closed
8917,COMM 201,6,Public Speaking,3,,Lec,MWF,1200-1250,FORBES 3014,Best  Mary,0,Closed
8918,COMM 201,7,Public Speaking,3,,Lec,TR,1800-1915,FORBES 3014,Middleton  Robyn,0,Closed
8919,COMM 211,1,Interpersonal Communication,3,  AIII,Lec,MWF,1200-1250,FORBES 2014,Lane  Brianna,0,Closed
8920,COMM 211,2,Interpersonal Communication,3,  AIII,Lec,MWF,1400-1450,LUTR 139,Lane  Brianna,0,Closed
8921,COMM 211,3,Interpersonal Communication,3,  AIII,Lec,TR,0930-1045,FORBES 2090,Goen  Todd,0,Closed
8922,COMM 221,1,Media History,3,  AIII,Lec,MW,1600-1715,FORBES 3014,Best  Mary,0,Closed
8923,COMM 222,1,Media  Culture  and Technology,3,,Lec,MWF,0900-0950,MCM 101,Baughman  Linda,0,Closed
8925,COMM 232,1,Comm through Digital Techn,3,  AICE,Lec,TR,1330-1445,LUTR 109,Billinson  Jennifer,0,Closed
8926,COMM 232,2,Comm through Digital Techn,3,  AICE,Lec,TR,1630-1745,LUTR 157,Billinson  Jennifer,0,Closed
8927,COMM 239,1,Argumentation,3,  AIIF,Lec,MWF,1000-1050,LUTR 131,Connable  Sean,0,Closed
8928,COMM 239,2,Argumentation,3,  AIIF,Lec,MWF,1000-1050,FORBES 2088,Meyer  Michaela,0,Closed
8930,COMM 239,3,Argumentation,3,  AIIF,Lec,MWF,1100-1150,LUTR 131,Connable  Sean,0,Closed
8931,COMM 239,4,Argumentation,3,  AIIF,Lec,MWF,1100-1150,FORBES 2088,Meyer  Michaela,0,Closed
8933,COMM 239,5,Argumentation,3,  AIIF,Lec,MWF,1400-1450,LUTR 105,Connable  Sean,0,Closed
8937,COMM 239,7,Argumentation,3,  AIIF,Lec,TR,1800-1915,LUTR 269,Rich  Marc,1,Open
8939,COMM 239,8,Argumentation,3,  AIIF,Lec,TR,1930-2045,LUTR 269,Rich  Marc,0,Closed
8942,COMM 249,1,Introduction to Rhetoric,3,  AIWT,Lec,MWF,1300-1350,LUTR 137,Steiner  Mark,0,Closed
8943,COMM 249,2,Introduction to Rhetoric,3,  AIWT,Lec,MWF,1500-1550,LUTR 137,Steiner  Mark,1,Open
8944,COMM 249,3,Introduction to Rhetoric,3,  AIWT,Lec,TR,0930-1045,MCM 162,Smith  James,0,Closed
8949,COMM 301,1,Nonverbal Communication,3,,Lec,TR,1100-1215,FORBES 2090,Goen  Todd,0,Closed
8950,COMM 301,2,Nonverbal Communication,3,,Lec,TR,1500-1615,LUTR 142,Goen  Todd,0,Closed
8952,COMM 318,1,Quant Rrsch Mthds in Comm,3,,Lec,MWF,0900-0950,LUTR 131,Lane  Brianna,0,Closed
8955,COMM 320,1,Media and Society,3,,Lec,MW,1600-1715,FORBES 2090,Center  Evan,0,Closed
8957,COMM 320,2,Media and Society,3,,Lec,MW,1800-1915,FORBES 2090,Center  Evan,0,Closed
8959,COMM 330,1,Gender Communication,3,  AIII,Lec,M,1800-2115,LUTR 170,Wroten  Amanda,0,Closed
8961,COMM 330,2,Gender Communication,3,  AIII,Lec,MW,1800-1915,FORBES 3012,Hubbard  Jeanne,0,Closed
8963,COMM 333,W1,WI: Rhetorical Criticism,3,  WI,Lec,TR,1330-1445,FORBES 2014,Smith  James,0,Closed
8966,COMM 333,W2,WI: Rhetorical Criticism,3,  WI,Lec,TR,1500-1615,FORBES 2014,Smith  James,0,Closed
8969,COMM 341,1,Rhetoric of Social Movements,3,,Lec,TR,1330-1445,LUTR 131,Sery  Joseph,0,Closed
8972,COMM 341,2,Rhetoric of Social Movements,3,,Lec,TR,1500-1615,LUTR 131,Sery  Joseph,0,Closed
8973,COMM 352,1,Philosophy and Communication,3,,Lec,MWF,1300-1350,LUTR 376,Connable  Sean,0,Closed
8975,COMM 365,1,Stress/Health/Human Interactio,3,,Lec,TR,0930-1045,MCM 216,Veksler  Alice,0,Closed
8977,COMM 365,2,Stress/Health/Human Interactio,3,,Lec,TR,1100-1215,MCM 216,Veksler  Alice,0,Closed
8980,COMM 452,W1,WI: Sr Research in Comm,3,  WI,Lec,MWF,1000-1050,LUTR 111,Manning  Linda,0,Closed
8981,COMM 452,W2,WI: Sr Research in Comm,3,  WI,Lec,MWF,1100-1150,LUTR 139,Baughman  Linda,0,Closed
8982,COMM 452,W3,WI: Sr Research in Comm,3,  WI,Lec,MW,1800-1915,LUTR 157,Billinson  Jennifer,0,Closed
8983,COMM 452,W4,WI: Sr Research in Comm,3,  WI,Lec,TR,0930-1045,LUTR 111,Sery  Joseph,0,Closed
8984,COMM 452,W5,WI: Sr Research in Comm,3,  WI,Lec,TR,1500-1615,FORBES 2088,Veksler  Alice,0,Closed
8985,COMM 452,W6,WI: Sr Research in Comm,3,  WI,Lec,MWF,1200-1250,LUTR 131,Center  Evan,0,Closed
8978,COMM 455,1,Critical Cultural Theory,3,,Lec,MWF,1300-1350,LUTR 131,Center  Evan,0,Closed
8987,COMM 491,1,Practicum in Communication,3-Jan,,Pra,,,ARR ,Goen  Todd,0,Closed
9226,COMM 499,1,Ind St: Relational Comm Resear,3-Jan,,Ind,,,ARR ,Goen  Todd,0,Closed
9342,COMM 499,2,Ind St:  Hidenwood Partnership,3-Jan,,Ind,,,ARR ,Best  Mary,0,Closed
8095,CPEN 214,1,Digital Logic Design,3,,Lec,TR,1800-1915,LUTR 376,Cheney  Lonnie,0,Closed
8096,CPEN 315,1,Digital System Design,3,,Lec,TR,0930-1045,LUTR 322,Gerousis  Costa,0,Closed
8097,CPEN 315L,1,Digital System Design Lab,1,,Lab,W,1930-2215,LUTR 206,Wang  Dali,0,Closed
8098,CPEN 371,W1,WI: Computer Ethics,2,  WI,Lec,MW,1400-1450,LUTR 322,Casey-Rutland  Ransom; Casey-Rutland  Helen,0,Closed
8099,CPEN 371,W2,WI: Computer Ethics,2,  WI,Lec,MW,1500-1550,LUTR 322,Casey-Rutland  Ransom; Casey-Rutland  Helen,0,Closed
8100,CPEN 371,W3,WI: Computer Ethics,2,  WI,Lec,MW,1600-1650,LUTR 322,Casey-Rutland  Ransom; Casey-Rutland  Helen,0,Closed
8101,CPEN 414,1,Computer Architecture,3,,Lec,TR,1330-1445,LUTR 347,Gerousis  Costa,15,Open
8102,CPEN 422,1,Microprocessors,3,,Lec,,, ,,0,Closed
8103,CPEN 498,W1,WI:Comput Engnrng Capstone,3-Jan,  WI,Ind,MWF,1100-1150,LUTR 322,Riedl  Anton,11,Open
8108,CPSC 110,1,Introduction to Computing,3,  AIIF,Lec,MWF,1400-1450,LUTR 258,Davis  Kimberly,0,Closed
8109,CPSC 110,2,Introduction to Computing,3,  AIIF,Lec,MWF,1500-1550,LUTR 258,Staff  CNU,0,Closed
8110,CPSC 110,3,Introduction to Computing,3,  AIIF,Lec,MW,1800-1915,LUTR 258,Hawkins  Kenneth,0,Closed
8111,CPSC 110,4,Introduction to Computing,3,  AIIF,Lec,MW,1930-2045,LUTR 258,Hawkins  Kenneth,0,Closed
8112,CPSC 110,5,Introduction to Computing,3,  AIIF,Lec,MW,2100-2215,LUTR 258,Hawkins  Kenneth,2,Open
8114,CPSC 125,1,Foundations of Computer Scienc,3,  AIIF,Lec,TR,0800-0915,LUTR 236,Perkins  Keith,8,Open
8115,CPSC 125,2,Foundations of Computer Scienc,3,  AIIF,Lec,TR,0930-1045,LUTR 236,Perkins  Keith,0,Closed
8116,CPSC 150,1,Computers and Programming I,3,  AIIF,Lec,MWF,1000-1050,LUTR 236,Lambert  Lynn,0,Closed
8117,CPSC 150,2,Computers and Programming I,3,  AIIF,Lec,MWF,1300-1350,LUTR 236,Lambert  Lynn,0,Closed
8119,CPSC 150,3,Computers and Programming I,3,  AIIF,Lec,MWF,1400-1450,LUTR 236,Lambert  Lynn,0,Closed
8121,CPSC 150,4,Computers and Programming I,3,  AIIF,Lec,,, ,,0,Closed
8122,CPSC 150L,1,Computers/Programming I Lab,1,  AIIF,Lab,W,1100-1245,LUTR 236,Hayhurst  John Wesley,0,Closed
8123,CPSC 150L,2,Computers/Programming I Lab,1,  AIIF,Lab,T,1330-1515,LUTR 323,Hayhurst  John Wesley,3,Open
8153,CPSC 150L,3,Computers/Programming I Lab,1,  AIIF,Lab,M,1800-1945,LUTR 323,Jones  Malcom,1,Open
8154,CPSC 150L,4,Computers/Programming I Lab,1,  AIIF,Lab,W,1800-1945,LUTR 323,Jones  Malcom,6,Open
8156,CPSC 215,1,Software Pkgs-Busn Applcations,3,  AIIF,Lec,MWF,0900-0950,LUTR 109,Baird  Amy,0,Closed
8158,CPSC 215,2,Software Pkgs-Busn Applcations,3,  AIIF,Lec,MWF,1000-1050,LUTR 109,Baird  Amy,0,Closed
8159,CPSC 215,3,Software Pkgs-Busn Applcations,3,  AIIF,Lec,MWF,0800-0850,LUTR 109,Baird  Amy,2,Open
8160,CPSC 215,4,Software Pkgs-Busn Applcations,3,  AIIF,Lec,MWF,1300-1350,LUTR 109,Staff  CNU,0,Closed
8162,CPSC 215,5,Software Pkgs-Busn Applcations,3,  AIIF,Lec,MW,1600-1715,LUTR 109,Zhang  Ming,1,Open
8164,CPSC 215,6,Software Pkgs-Busn Applcations,3,  AIIF,Lec,,, ,,0,Closed
8165,CPSC 215,7,Software Pkgs-Busn Applcations,3,  AIIF,Lec,MW,1800-1915,LUTR 109,Zhang  Ming,1,Open
8166,CPSC 215,8,Software Pkgs-Busn Applcations,3,  AIIF,Lec,MW,1930-2045,LUTR 109,Zhang  Ming,2,Open
8167,CPSC 216,1,Multimedia and Web Publishing,3,  AIIF,Lec,MWF,1100-1150,LUTR 109,Baird  Amy,0,Closed
8168,CPSC 250,1,Computers and Programming II,3,  AIIF,Lec,TR,1100-1215,LUTR 236,Conner  David,2,Open
8169,CPSC 250,2,Computers and Programming II,3,  AIIF,Lec,TR,1630-1745,LUTR 236,Conner  David,5,Open
8170,CPSC 250,3,Computers and Programming II,3,  AIIF,Lec,MW,1800-1915,LUTR 236,Johnson  Michael,1,Open
8171,CPSC 250,4,Computers and Programming II,3,  AIIF,Lec,TR,1800-1915,LUTR 236,Johnson  Michael,3,Open
8172,CPSC 250L,1,Computers/Programming II Lab,1,  AIIF,Lab,F,1100-1245,LUTR 236,Giles  Timothy; Perkins  Keith,1,Open
8173,CPSC 250L,2,Computers/Programming II Lab,1,  AIIF,Lab,R,1330-1515,LUTR 323,McCarthy  Matthew; Perkins  Keith,0,Closed
8174,CPSC 250L,3,Computers/Programming II Lab,1,  AIIF,Lab,F,1400-1545,LUTR 323,McCarthy  Matthew; Perkins  Keith,6,Open
8175,CPSC 250L,4,Computers/Programming II Lab,1,  AIIF,Lab,W,1400-1545,LUTR 323,Giles  Timothy; Perkins  Keith,2,Open
8176,CPSC 270,1,Data and File Structures,3,,Lec,TR,1330-1445,LUTR 236,Siochi  Antonio,0,Closed
8177,CPSC 270,2,Data and File Structures,3,,Lec,MW,1600-1715,LUTR 236,Siochi  Antonio,9,Open
8179,CPSC 280,1,Intro to Software Engineering,3,,Lec,MWF,0900-0950,LUTR 258,Flores  Roberto,0,Closed
8180,CPSC 335,1,Data Communication Systems,3,,Lec,TR,1930-2045,LUTR 322,Cheney  Lonnie,0,Closed
8182,CPSC 351,1,Info Sys Design/Implementation,3,,Lec,TR,0930-1045,LUTR 258,Koehl  Aaron,8,Open
8196,CPSC 360,1,Programming Language Concepts,3,,Lec,MWF,1000-1050,LUTR 258,Flores  Roberto,0,Closed
8197,CPSC 420,1,Algorithms,3,,Lec,TR,1330-1445,LUTR 322,Collins  Michael,0,Closed
8202,CPSC 420,2,Algorithms,3,,Lec,TR,1630-1745,LUTR 322,Collins  Michael,13,Open
8205,CPSC 425,1,Object Oriented Program &amp; Dsgn,3,,Lec,TR,1800-1915,LUTR 258,Flores  Roberto,1,Open
8207,CPSC 428,1,Cryptography &amp; Network Securit,3,,Lec,TR,1500-1615,LUTR 258,Collins  Michael,0,Closed
8211,CPSC 440,1,Database Management Systems,3,,Lec,TR,1930-2045,LUTR 258,Johnson  Michael,0,Closed
8245,CPSC 445,W1,WI: Information Systems Lab,3,  WI,Ind,MWF,1300-1350,LUTR 258,Koehl  Aaron,12,Open
8247,CPSC 450,1,Operating Systems II,3,,Lec,,, ,,0,Closed
8249,CPSC 475,1,Android Mobile Computing,3,,Lec,TR,1630-1745,LUTR 258,Perkins  Keith,0,Closed
8252,CPSC 495,1,SP TPC: Intro to Robotics,3-Jan,,Lec,MW,1600-1715,LUTR 323,Conner  David,11,Open
8257,CPSC 498,1,Capstone Project-Comp Science,3,,Lec,TR,1100-1215,LUTR 258,Koehl  Aaron,3,Open
9037,CPSC 502,1,Communications I,3,,Lec,MWF,1000-1050,LUTR 323,Riedl  Anton,10,Open
9039,CPSC 521,1,Computer Architecture,3,,Lec,TR,1330-1445,LUTR 347,Gerousis  Costa,3,Open
9040,CPSC 525,1,Obj Oriented Program &amp; Design,3,,Lec,TR,1800-1915,LUTR 258,Flores  Roberto,6,Open
9042,CPSC 550,1,Distributed Operating Systems,3,,Lec,,, ,,0,Closed
9043,CPSC 575,1,Mobile Computing,3,,Lec,TR,1630-1745,LUTR 258,Perkins  Keith,6,Open
9047,CPSC 642,1,Artificial Intelligence II,3,,Lec,,, ,,0,Closed
8269,DANC 204,1,Ballet I,3,  AICE,Lec,TR,0930-1045,FERG T177,McCall  Christie,0,Closed
8271,DANC 204,2,Ballet I,3,  AICE,Lec,TR,1100-1215,FERG T177,McCall  Christie,0,Closed
8273,DANC 205,1,Classic Jazz Technique,3,  AICE,Lec,TR,1330-1445,FERG T177,Lloyd  Laura,0,Closed
8274,DANC 205,2,Classic Jazz Technique,3,  AICE,Lec,MW,1600-1715,FERG T177,Lent  Jennifer,0,Closed
8275,DANC 206,1,Modern Dance I,3,  AICE,Lec,MW,0930-1045,FERG T177,Mazzocca  Ann,0,Closed
8277,DANC 304,1,Ballet II,3,,Lec,TR,1500-1615,FERG T177,Lloyd  Laura,0,Closed
8279,DANC 340,1,Dance Hist &amp; Contemporary Pers,3,,Lec,TR,0930-1045,FERG 221,Mazzocca  Ann,17,Open
8288,DANC 360,1,Afro-Caribbean,3,  AIGM,Lec,MW,1100-1215,FERG T177,Mazzocca  Ann,0,Closed
8354,DANC 381,1,Production in Dance,0 - 1,,Lab,,,ARR ,Mazzocca  Ann,0,Closed
8289,DANC 430,1,Advanced Dance Styles,3,,Lec,MW,1300-1415,FERG T177,Lloyd  Laura,8,Open
8367,ECON 200,1,The Economic Way of Thinking,3,,Lec,TR,0930-1045,LUTR 137,Taghvatalab  Sara,0,Closed
8368,ECON 200,2,The Economic Way of Thinking,3,,Lec,TR,1100-1215,LUTR 137,Taghvatalab  Sara,0,Closed
8369,ECON 200,3,The Economic Way of Thinking,3,,Lec,MWF,0900-0950,MCM 260,Kotula  Gemma,0,Closed
8370,ECON 200,4,The Economic Way of Thinking,3,,Lec,MWF,1000-1050,MCM 260,Kotula  Gemma,0,Closed
8371,ECON 200,5,The Economic Way of Thinking,3,,Lec,TR,1630-1745,LUTR 139,Taghvatalab  Sara,0,Closed
8372,ECON 201,1,Principles of Macroeconomics,3,  AIII,Lec,TR,1330-1445,LUTR 121,He  Zhaochen,0,Closed
8373,ECON 201,2,Principles of Macroeconomics,3,  AIII,Lec,MWF,1300-1350,LUTR 121,Kotula  Gemma,0,Closed
8374,ECON 201,3,Principles of Macroeconomics,3,  AIII,Lec,T,1800-2045,LUTR 137,Mashayekh  Ahmad,0,Closed
8375,ECON 201,4,Principles of Macroeconomics,3,  AIII,Lec,W,1800-2045,LUTR 137,Mashayekh  Ahmad,0,Closed
8376,ECON 201,5,Principles of Macroeconomics,3,  AIII,Lec,R,1800-2045,LUTR 137,Harford  Joshua,0,Closed
8377,ECON 202,1,Principles of Microeconomics,3,  AIII,Lec,MW,1600-1715,LUTR 121,Yu  Jia,0,Closed
8378,ECON 202,2,Principles of Microeconomics,3,  AIII,Lec,TR,1500-1615,LUTR 121,O&#39;Reilly  Patrick,0,Closed
8379,ECON 202,3,Principles of Microeconomics,3,  AIII,Lec,MW,1800-1915,LUTR 139,O&#39;Reilly  Patrick,0,Closed
8380,ECON 202,4,Principles of Microeconomics,3,  AIII,Lec,MW,1800-1915,LUTR 242,Zestos  George,0,Closed
8381,ECON 202,5,Principles of Microeconomics,3,  AIII,Lec,TR,1630-1745,LUTR 137,He  Zhaochen,0,Closed
8382,ECON 202,6,Principles of Microeconomics,3,  AIII,Lec,M,1800-2045,LUTR 137,Milewski  Mary,0,Closed
8383,ECON 202,7,Principles of Microeconomics,3,  AIII,Lec,T,1800-2045,LUTR 139,Cann-Tamakloe  Ralph,0,Closed
8384,ECON 202,8,Principles of Microeconomics,3,  AIII,Lec,R,1800-2045,LUTR 139,Winder  Robert,0,Closed
8385,ECON 301,1,Environmental Economics,3,,Lec,TR,1330-1445,LUTR 139,O&#39;Reilly  Patrick,0,Closed
8386,ECON 303,1,Intrm Microeconomic Analysis,3,  AIII,Lec,TR,0930-1045,FORBES 2070D,Yu  Jia,0,Closed
8387,ECON 303,2,Intrm Microeconomic Analysis,3,  AIII,Lec,TR,1100-1215,FORBES 2070D,Yu  Jia,0,Closed
8388,ECON 395,1,SP TPC: Gender Economics,3,,Lec,MW,1600-1715,LUTR 264,Taghvatalab  Sara,4,Open
8389,ECON 470,1,International Trade/Finance,3,,Lec,MWF,1400-1450,LUTR 242,Zestos  George,0,Closed
8390,ECON 470,2,International Trade/Finance,3,,Lec,MWF,1500-1550,LUTR 242,Zestos  George,2,Open
8391,ECON 475,1,Money and Banking,3,  AIII,Lec,MWF,1000-1050,LUTR 139,Winder  Robert,0,Closed
8392,ECON 490,W1,WI:Senior Seminar in Economics,3,  WI,Lec,MWF,1100-1150,LUTR 137,Vachris  Michelle,0,Closed
8393,ECON 490,W2,WI:Senior Seminar in Economics,3,  WI,Lec,MWF,1200-1250,LUTR 137,Vachris  Michelle,0,Closed
8394,ECON 490,W3,WI:Senior Seminar in Economics,3,  WI,Lec,MWF,1400-1450,LUTR 137,Vachris  Michelle,0,Closed
8261,EENG 221,1,Signals and Systems,3,,Lec,MWF,1100-1150,LUTR 206,Backens  Jonathan,8,Open
8264,EENG 461,1,Communication Systems II,3,,Lec,MWF,1300-1350,LUTR 206,Backens  Jonathan,15,Open
8731,ENGL 123,1,First-Year Writing Seminar,3,  LLF,Lec,MWF,1000-1050,MCM 207,Bunch  Imogene,0,Closed
8910,ENGL 123,10,First-Year Writing Seminar,3,  LLF,Lec,MWF,1100-1150,MCM 200D,Teekell  Anna,0,Closed
9013,ENGL 123,11,First-Year Writing Seminar,3,  LLF,Lec,TR,1330-1445,MCM 200B,Anderson  Amy,0,Closed
9026,ENGL 123,12,First-Year Writing Seminar,3,  LLF,Lec,TR,1500-1615,MCM 300B,Rowley  Sharon,0,Closed
9068,ENGL 123,13,First-Year Writing Seminar,3,  LLF,Lec,MWF,0900-0950,MCM 200C,Davis  Cynthia,0,Closed
9101,ENGL 123,15,First-Year Writing Seminar,3,  LLF,Lec,MWF,1500-1550,MCM 200B,Barclay  Rebecca,0,Closed
9118,ENGL 123,16,First-Year Writing Seminar,3,  LLF,Lec,MWF,0900-0950,MCM 216,Bunch  Imogene,0,Closed
9122,ENGL 123,17,First-Year Writing Seminar,3,  LLF,Lec,MWF,1100-1150,MCM 300D,Cornette Jr  James,0,Closed
9125,ENGL 123,18,First-Year Writing Seminar,3,  LLF,Lec,MWF,1000-1050,MCM 200B,Healy  Mary,0,Closed
9126,ENGL 123,19,First-Year Writing Seminar,3,  LLF,Lec,MWF,1100-1150,MCM 300B,Healy  Mary,0,Closed
8768,ENGL 123,2,First-Year Writing Seminar,3,  LLF,Lec,MWF,0900-0950,MCM 307,Cornette Jr  James,0,Closed
9127,ENGL 123,20,First-Year Writing Seminar,3,  LLF,Lec,MWF,1000-1050,MCM 300D,Hopkins  Patricia,0,Closed
9128,ENGL 123,21,First-Year Writing Seminar,3,  LLF,Lec,MWF,1200-1250,MCM 300B,Hopkins  Patricia,0,Closed
9129,ENGL 123,22,First-Year Writing Seminar,3,  LLF,Lec,TR,1100-1215,FERG 222,Lee  Terrence,0,Closed
9073,ENGL 123,24,First-Year Writing Seminar,3,  LLF,Lec,MWF,1100-1150,MCM 200C,Davis  Cynthia,0,Closed
8818,ENGL 123,3,First-Year Writing Seminar,3,  LLF,Lec,MWF,1400-1450,MCM 300B,Filetti  Jean,0,Closed
8842,ENGL 123,4,First-Year Writing Seminar,3,  LLF,Lec,MWF,1300-1350,MCM 300B,Filetti  Jean,0,Closed
8859,ENGL 123,5,First-Year Writing Seminar,3,  LLF,Lec,TR,1630-1745,MCM 200B,Hoag  Trevor,0,Closed
8867,ENGL 123,7,First-Year Writing Seminar,3,  LLF,Lec,MWF,0900-0950,MCM 200B,Mulligan  Roark,0,Closed
8895,ENGL 123,8,First-Year Writing Seminar,3,  LLF,Lec,MWF,1300-1350,MCM 200D,Rose  Andrew,0,Closed
8903,ENGL 123,9,First-Year Writing Seminar,3,  LLF,Lec,MWF,1000-1050,MCM 200D,Teekell  Anna,0,Closed
9116,ENGL 200,1,Lit Foundation I:Ancient-17thC,3,,Lec,TR,1330-1445,MCM 164,Apolloni  Jessica,0,Closed
9119,ENGL 201,1,Lit Foundation II:18thC-mid 19,3,,Lec,MWF,1400-1450,MCM 114,Rose  Andrew,0,Closed
9121,ENGL 202,1,Lit Foundation III: Mid 19thC-,3,,Lec,MWF,1100-1150,MCM 312,Mulligan  Roark,0,Closed
9081,ENGL 223,1,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,TR,1100-1215,TRIB 208,Apolloni  Jessica,0,Closed
9105,ENGL 223,10,2nd Yr Writ Sem:Lit  Res  Writ,3,  LLF,Lec,MWF,1200-1250,MCM 164,Bunch  Imogene,0,Closed
